Empresa,Aplicacao,Entrevista,Resposta,Vaga,Etapa,Remoto,Senioridade,Data Submissao,Data Entrevista,Data Resposta,Data Visualizacao,
Belvo,LinkedIn,Sim,Personalizada,Python Developer,N/A,Sim,N/A,06/12/2021,10/12/2021,13/12/2021,N/A,
Zyte,Workable,Sim,Personalizada,Python Developer -Remote,N/A,Sim,N/A,09/12/2021,12/12/2021,07/03/2022,N/A,
Mobi2Buy,Gupy,Nao,N/A,Desenvolvedor Python,Cadastro,Sim,N/A,13/12/2021,N/A,N/A,N/A,
Compay Hero,Gupy,Nao,N/A,Desenvolvedor Python Junior,Cadastro,Sim,Junior,13/12/2021,N/A,N/A,N/A,
WeRecruiter,Gupy,Nao,Generica,Desenvolvedore Python Junior,Resposta,Sim,Junior,13/12/2021,N/A,01/03/2022,N/A,
Mollica IT,LinkedIn,Nao,N/A,Cientista de Dados - Estagio/Junior,N/A,Sim,Junior,13/12/2021,N/A,N/A,N/A,
Linx,Gupy,Nao,N/A,Analisa de Suporte Jr - Remoto,Cadastro,Sim,Junior,14/12/2021,N/A,N/A,N/A,
Cadmus Solucoes em TI,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,14/12/2021,N/A,N/A,N/A,
Linx,LinkedIn,Nao,N/A,Pessoa Desenvolvedora Python Pl,N/A,Sim,Pleno,15/12/2021,N/A,N/A,N/A,
Teva Indices,LinkedIn,Nao,N/A,Cientista de Dados,N/A,Sim,N/A,15/12/2021,N/A,N/A,N/A,
PagSeguro PagBank,Gupy,Nao,Generica,Cientista de Dados,Cadastro,Sim,N/A,15/12/2021,N/A,29/12/2021,N/A,
Linx,LinkedIn,Nao,N/A,Pessoa Desenvolvedora Python,N/A,Sim,N/A,15/12/2021,N/A,N/A,N/A,
JobConvo,Site,Nao,N/A,Desenvolvimento Phython e SQL,N/A,Sim,N/A,16/12/2021,N/A,N/A,N/A,
Linx,LinkedIn,Nao,N/A,Pessoa Desenvolvedora Python Pl,N/A,Sim,Pleno,16/12/2021,N/A,N/A,N/A,
HunterCO,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,17/12/2021,N/A,N/A,N/A,
Bradoo Technologies,LinkedIn,Sim,N/A,Desenvolvedor Python,N/A,Sim,N/A,18/12/2021,11/01/2022,N/A,26/12/2021,
Data Marketplace,LinkedIn,Nao,N/A,Engenheiro de dados,N/A,Sim,N/A,19/12/2021,N/A,N/A,N/A,
Modalmais,Kenoby,Nao,Generica,Python Developer,N/A,Sim,N/A,N/A,N/A,20/12/2021,N/A,
